Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Burgess	Michael C.		P	TX26	2023	9/6/2023	20023623
Hon.	Burgess	Michael C.		P	TX26	2023	10/3/2023	20023786
Hon.	Burgess	Michael C.		P	TX26	2023	12/18/2023	20024169
Hon.	Burlison	Eric		P	MO07	2023	3/1/2023	8219414
Hon.	Burlison	Eric		X	MO07	2023	5/24/2023	8219675
	Burlison	Heather		C	TX24	2023	6/17/2023	10055147
	Burlison	Heather		D	TX24	2023	6/20/2023	40003501
	Burnett	Debby		C	CO03	2023	4/30/2023	10051745
	Burrows	Johnathon		C	CA20	2023	5/15/2023	10054463
	Busch	Emily		C	MI10	2023	12/4/2023	10056344
	Buskirk	Paul		C	KS01	2023	1/15/2024	10056274
	Buskirk	Paul		X	KS01	2023	11/22/2023	8220054
Hon.	Bustos	Cheri		T	IL17	2023	1/24/2023	10050743
	Butcher	Callie		C	TX32	2023	11/24/2023	10055404
	Butcher	Callie		X	TX32	2023	8/1/2023	30019364
	Butcher	Callie		X	TX32	2023	10/4/2023	30019419
	Butierez	Daniel		C	AZ07	2023	3/14/2024	10056427
	Butierez	Daniel		D	AZ07	2023	12/14/2023	40003577
Hon.	Butterfield	G. K.		T	NC01	2023	2/21/2023	10050941
	Bynum	Janelle		C	OR05	2023	8/25/2023	10055723
	Cain	Dennis Nate Nathan		C	WV02	2023	6/29/2023	10055201
	Call	Jason		C	WA02	2023	11/11/2023	10056169
	Campbell	Cameron		W	TX38	2023	12/27/2023	7915
	Cano	Sandra C.		C	RI01	2023	6/2/2023	8219744
	Caplan	Stan		W	CA51	2023	4/24/2023	7899
	Cargile	Mike		C	CA35	2023	12/16/2023	10055719
	Cargile	Mike		X	CA35	2023	8/28/2023	30019388
	Carlson	Don		C	RI01	2023	8/3/2023	10052966
	Carlson	Don		X	RI01	2023	5/9/2023	30018208
	Carmen	Goers		C	WA08	2023	5/15/2023	10051148
	Carrillo	Francisco	Jr.	X	CA27	2023	5/24/2023	8219678
	Carris	Jim		C	IL10	2023	1/9/2024	10056251
Hon.	Carter	Earl Leroy		P	GA01	2023	5/9/2023	20022894
Mr.	Casares	Jose Angel		C	TX29	2023	12/23/2023	10056468
Dr.	Casey	Michael Arthur		A	MN04	2023	10/5/2023	10055992
Dr.	Casey	Michael Arthur		A	MN04	2023	10/5/2023	10055998
Dr.	Casey	Michael Arthur		A	MN04	2023	10/9/2023	10056008
Dr.	Casey	Michael Arthur		C	MN04	2023	10/5/2023	10055828
	Castelli	Robert Christian		C	NC06	2023	5/14/2023	10054347
Hon.	Castro	Joaquin		G	TX20	2023	4/24/2023	8219472
	Catala	Ryan Joshua		C	TX12	2023	2/13/2023	10050901
Hon.	Cawthorn	David Madison		X	NC11	2023	1/23/2023	30017745
Mr.	Celata	Anthony Patrick		C	MA01	2023	11/3/2023	10056158
Mrs.	Centonze	Lana		C	TX18	2023	10/27/2023	10056113
Mr.	Cerullo	John Edward		D	NY19	2023	4/12/2023	40003470
Hon.	Chabot	Steve		T	OH01	2023	3/17/2023	10050817
Hon.	Chabot	Steve		X	OH01	2023	1/23/2023	30017747
	Chandrakumar	Roshan		C	OH03	2023	5/11/2023	10053932
	Chen	Anita S.		C	CA17	2023	2/3/2024	10056340
	Chen	Anita S.		D	CA17	2023	10/20/2023	8220024
	Chen	Anita S.		X	CA17	2023	12/6/2023	30019510
	Chen	Nolan		C	CA10	2023	10/21/2023	10055341
	Chen	Nolan		D	CA10	2023	7/24/2023	40003510
Hon.	Cheney	Elizabeth		T	WY00	2023	3/5/2023	10050861
Hon.	Cheney	Elizabeth		X	WY00	2023	2/2/2023	30017762
Hon.	Cheney	Elizabeth		X	WY00	2023	3/10/2023	30017790
	Cheng	Austin Franklin		C	NY03	2023	10/4/2023	10055926
	Cherny	Andrei		C	AZ01	2023	8/10/2023	10052541
	Cherny	Andrei		X	AZ01	2023	5/3/2023	30018096
	Ching	Eric J.		C	CA38	2023	2/1/2023	10050857
	Chinthala	Balaraju Raju		C	IN05	2023	11/30/2023	10055965
	Chinthala	Balaraju Raju		D	IN05	2023	10/20/2023	8220025
	Christian	Jerrad Shane		C	OH12	2023	10/16/2023	10056041
Dr.	Chu	Weiming David		C	CA47	2023	11/20/2023	10056280
Dr.	Chu	Weiming David		D	CA47	2023	11/21/2023	40003564
	Cisneros	Gilbert		C	CA31	2023	10/31/2023	10055983
	Cisneros	Gilbert		X	CA31	2023	10/11/2023	30019430
	Clancy	Mike		C	VA10	2023	11/10/2023	10056197
Hon.	Clark	Katherine M.		P	MA05	2023	3/6/2023	20022509
Hon.	Clark	Katherine M.		P	MA05	2023	6/8/2023	20022917
Hon.	Clark	Katherine M.		P	MA05	2023	11/6/2023	20023950
	Clatterbuck	Thomas		C	IL13	2023	10/30/2023	10056121
	Clatterbuck	Thomas		D	IL13	2023	9/24/2023	8219975
Hon.	Cohen	Steve		P	TN09	2023	2/4/2023	20022368
Hon.	Cohen	Steve		P	TN09	2023	2/13/2023	20022428
Hon.	Cohen	Steve		P	TN09	2023	6/26/2023	20023162
Hon.	Cohen	Steve		P	TN09	2023	7/28/2023	20023392
Hon.	Cole	Tom		P	OK04	2023	3/7/2023	8219430
Hon.	Cole	Tom		P	OK04	2023	8/10/2023	8219893
	Coleman	Bernard Wade		C	CO02	2023	5/25/2023	10054917
	Coleman	Bernard Wade		D	CO02	2023	6/7/2023	8219756
Hon.	Collins	Michael A.		P	GA10	2023	12/22/2023	20024042
Hon.	Collins	Michael A.		X	GA10	2023	5/24/2023	8219686
	Compton	William Dakota		C	KY02	2023	4/6/2023	10051635
Dr.	Conaway	Herb		X	NJ03	2023	1/9/2024	30019556
	Conforti	Niki		C	IL06	2023	10/27/2023	10056105
	Conforti	Niki		X	IL06	2023	7/24/2023	8219857
Hon.	Connolly	Gerald E.		P	VA11	2023	1/24/2023	20022309
Hon.	Connolly	Gerald E.		P	VA11	2023	4/4/2023	20022660
Hon.	Connolly	Gerald E.		P	VA11	2023	8/25/2023	20023575
Hon.	Connolly	Gerald E.		P	VA11	2023	11/14/2023	20024004
Dr.	Contogiannis	Mary Ann		C	NC06	2023	2/27/2024	10056346
Dr.	Contogiannis	Mary Ann		X	NC06	2023	12/6/2023	30019512
Hon.	Conway	Connie		T	CA22	2023	3/30/2023	10050864
Hon.	Conway	Connie		X	CA22	2023	2/2/2023	30017763
	Conyears-Ervin	Melissa		X	IL07	2023	5/10/2023	8219538
Mrs.	Conyears-Ervin	Melissa		C	IL07	2023	8/16/2023	10055388
	Cooke	Rebecca		C	WI03	2023	8/14/2023	10055402
	Cooke	Rebecca		X	WI03	2023	8/17/2023	30019377
Hon.	Cooper	Jim		T	TN05	2023	5/1/2023	10050786
Hon.	Cooper	Jim		X	TN05	2023	1/17/2023	30017737
	Cooper	Kelly		C	AZ04	2023	9/8/2023	10053554
	Cooper	Kelly		X	AZ04	2023	5/17/2023	30018481
	Coplen	Rick		C	PA10	2023	4/20/2023	10052248
	Corbin	Michael Allen		C	GA07	2023	8/24/2023	10055463
	Corbin	Michael Allen		X	GA07	2023	8/29/2023	30019391
	Corey	Gene Raymond Ill		C	CA39	2023	7/1/2023	10055211
	Cotter Smasal	Missy		C	VA02	2023	1/2/2024	10056364
	Cotter Smasal	Missy		X	VA02	2023	9/28/2023	8219986
	Coughlin	Kevin		C	OH13	2023	11/16/2023	10056164
	Coughlin	Kevin		X	OH13	2023	11/17/2023	30019472
Mr.	Coulombe	Chris		X	CA02	2023	6/21/2023	30019244
	Courser	Amy Ryan		C	OR04	2023	1/10/2024	10056555
	Cox	Amy		C	OH10	2023	12/26/2023	10056479
	Cravens	Maurice Randall	II	D	KY06	2023	3/21/2023	8219438
Hon.	Crenshaw	Daniel		P	TX02	2023	4/20/2023	20022770
	Crnkovich	Karen		C	KS03	2023	9/19/2023	10055868
	Cross	Robert N.		C	ME02	2023	7/14/2023	10054483
	Cross	Robert N.		X	ME02	2023	5/17/2023	30018883
Mr.	Crowl	Scot Alan		C	IL17	2023	9/28/2023	10055937
Mr.	Cruz	Jerico Matias		C	IL05	2023	12/6/2023	10055957
Mr.	Cruz	Jerico Matias		D	IL05	2023	10/4/2023	40003540
Mr.	Cuddy	Dave		D	TX35	2023	12/19/2023	8220095
Mr.	Cuddy	Dave		D	TX35	2023	1/9/2024	40003579
Mr.	Cummings	Rodney Justin		C	IN05	2023	5/24/2023	10054906
Mrs.	Currey-Marsella	Renee Antoinette		A	FL14	2023	1/6/2024	10056536
	Curry	Kellen		C	NY03	2023	5/4/2023	10052677
Hon.	Curtis	John		P	UT03	2023	1/10/2023	20022249
Hon.	Curtis	John		P	UT03	2023	2/13/2023	20022423
Hon.	Curtis	John		P	UT03	2023	3/13/2023	20022561
Hon.	Curtis	John		P	UT03	2023	3/27/2023	20022624
Hon.	Curtis	John		P	UT03	2023	5/10/2023	20022721
Hon.	Curtis	John		P	UT03	2023	6/2/2023	20023061
Hon.	Curtis	John		P	UT03	2023	8/7/2023	20023444
Hon.	Curtis	John		P	UT03	2023	10/4/2023	20023799
Hon.	Curtis	John		P	UT03	2023	11/16/2023	20023867
Hon.	Curtis	John		P	UT03	2023	12/15/2023	20024152
	Dahlstrom	Nancy		C	AK00	2023	12/28/2023	10056492
	Damikolas	Allyson		X	CA40	2023	6/27/2023	30019246
	Damikolas	Allyson Muniz		C	CA40	2023	6/22/2023	10055083
	Daniels	Anthony		C	AL02	2023	1/20/2024	10056620
Ms.	Daniels	Shamaine		C	PA10	2023	5/14/2023	10054383
	Danimus	Ann Marie		C	WA05	2023	6/13/2023	10050788
Mr.	Davenport	Keith		C	NC08	2023	12/16/2023	10056437
	Davis	Colleen		C	DE00	2023	10/30/2023	10055509
	Davis	Colleen		X	DE00	2023	8/17/2023	30019374
Hon.	Davis	Don		X	NC01	2023	5/24/2023	8219691
Hon.	Davis	Rodney		T	IL13	2023	1/14/2023	10050777
	Davis	Thomas Eugene		D	TN04	2023	12/4/2023	40003565
	Daza-Fernandez	Antonio Miguel		D	GA11	2023	10/6/2023	40003541
	De Aquino Sirianni	Cynthia Munhos		C	CO02	2023	7/5/2023	10055221
	Dean	Kate		W		2023		8220145
Hon.	DeFazio	Peter A.		T	OR04	2023	1/14/2023	10050775
	Deford	William Mac		C	SC01	2023	8/13/2023	10051906
	Deford	William Mac		X	SC01	2023	5/17/2023	30018910
	Del Rosal Isais	Luisa Maria		C	TX26	2023	1/28/2024	10056397
	Del Rosal Isais	Luisa Maria		X	TX26	2023	12/12/2023	30019525
	Delaney	April McClain		C	MD06	2023	2/22/2024	10056220
	Delaney	April McClain		X	MD06	2023	11/21/2023	30019479
Hon.	DelBene	Suzan K.		P	WA01	2023	1/2/2023	20022183
Hon.	DelBene	Suzan K.		P	WA01	2023	1/21/2023	20022288
Hon.	DelBene	Suzan K.		P	WA01	2023	2/6/2023	20022355
Hon.	DelBene	Suzan K.		P	WA01	2023	2/19/2023	20022453
Hon.	DelBene	Suzan K.		P	WA01	2023	3/7/2023	20022498
Hon.	DelBene	Suzan K.		P	WA01	2023	3/20/2023	20022589
Hon.	DelBene	Suzan K.		P	WA01	2023	4/10/2023	20022655
Hon.	DelBene	Suzan K.		P	WA01	2023	5/6/2023	20022828
Hon.	DelBene	Suzan K.		P	WA01	2023	5/25/2023	20022975
Hon.	DelBene	Suzan K.		P	WA01	2023	6/7/2023	20023052
Hon.	DelBene	Suzan K.		P	WA01	2023	6/14/2023	20023100
Hon.	DelBene	Suzan K.		P	WA01	2023	6/23/2023	20023183
Hon.	DelBene	Suzan K.		P	WA01	2023	7/7/2023	20023238
Hon.	DelBene	Suzan K.		P	WA01	2023	7/25/2023	20023349
Hon.	DelBene	Suzan K.		P	WA01	2023	8/8/2023	20023421
Hon.	DelBene	Suzan K.		P	WA01	2023	9/11/2023	20023610
Hon.	DelBene	Suzan K.		P	WA01	2023	9/25/2023	20023721
Hon.	DelBene	Suzan K.		P	WA01	2023	10/10/2023	20023788
Hon.	DelBene	Suzan K.		P	WA01	2023	11/8/2023	20023930
Hon.	DelBene	Suzan K.		P	WA01	2023	11/26/2023	20024016
Hon.	DelBene	Suzan K.		P	WA01	2023	12/13/2023	20024080
Hon.	DelBene	Suzan K.		P	WA01	2023	12/23/2023	20024173
	Dellicker	Kevin		C	PA07	2023	8/8/2023	10055442
Hon.	Demings	Valdez 'Val'		T	FL10	2023	3/1/2023	10050820
Hon.	Demings	Valdez 'Val'		X	FL10	2023	1/30/2023	30017753
	DeSpain	Monique		C	OR04	2023	3/10/2024	10056366
	Despain	Monique		X	OR04	2023	12/12/2023	30019518
	Dexter	Maxine		X	OR03	2023	1/3/2024	30019552
Hon.	Dingell	Debbie		P	MI06	2023	3/8/2023	20022528
Hon.	Dingell	Debbie		P	MI06	2023	3/15/2023	20022585
Hon.	Dingell	Debbie		P	MI06	2023	4/19/2023	20022749
Hon.	Dingell	Debbie		P	MI06	2023	5/15/2023	20022957
Hon.	Dingell	Debbie		P	MI06	2023	12/14/2023	20024143
Hon.	Dingell	Debbie		P	MI12	2023	1/1/2023	20022184
Hon.	Dingell	Debbie		P	MI12	2023	1/19/2023	20022293
